Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Toronto Raptors,34,240.0,37.9,84.0,.451,9.1,25.9,.350,28.8,58.1,.496,18.0,23.7,.761,10.0,31.9,41.9,21.9,7.6,5.1,16.1,20.3,102.8
2,Portland Trail Blazers,35,240.7,37.9,84.9,.447,9.0,25.3,.355,29.0,59.6,.486,15.8,21.4,.740,9.0,33.3,42.3,18.9,7.9,5.3,13.3,19.7,100.7
3,Detroit Pistons,35,240.0,38.1,82.4,.462,10.0,27.1,.368,28.1,55.3,.509,14.9,19.1,.777,9.2,33.5,42.7,23.9,7.1,5.3,15.6,18.4,101.0
4,Milwaukee Bucks,34,240.7,37.6,80.8,.465,10.5,26.7,.392,27.1,54.1,.501,19.6,25.7,.761,9.3,33.0,42.3,21.8,6.8,3.6,15.7,19.8,105.2
5,San Antonio Spurs,37,240.0,37.7,83.5,.451,9.4,26.4,.356,28.3,57.2,.495,13.4,18.2,.733,8.8,32.6,41.4,21.2,7.8,3.6,13.8,19.2,98.1
6,Miami Heat,36,240.7,37.4,81.9,.456,9.6,25.3,.379,27.8,56.7,.491,17.8,22.6,.785,8.8,33.5,42.3,20.7,7.6,4.6,14.1,19.0,102.1
7,Los Angeles Clippers,35,240.7,38.7,85.2,.454,10.4,28.8,.360,28.3,56.4,.502,18.0,23.3,.774,10.3,33.3,43.7,23.8,8.2,5.0,14.6,21.7,105.7
8,Oklahoma City Thunder,37,242.7,36.6,81.0,.452,10.8,30.5,.355,25.8,50.5,.511,16.4,21.5,.759,9.1,31.9,41.0,21.7,8.1,4.6,16.8,20.8,100.5
9,New York Knicks,36,240.7,37.5,84.6,.443,11.4,31.6,.361,26.1,53.0,.492,17.3,22.4,.771,9.8,31.1,41.0,22.6,8.1,4.9,14.1,20.0,103.7
10,Houston Rockets,35,241.4,40.1,85.8,.467,10.7,28.9,.369,29.5,57.0,.517,16.0,21.5,.744,8.4,32.8,41.2,22.1,8.0,4.9,15.1,21.2,106.9
11,Utah Jazz,37,240.7,37.4,80.9,.462,10.0,26.7,.374,27.4,54.2,.505,16.9,21.8,.775,8.9,34.7,43.6,19.9,8.1,4.6,15.6,19.9,101.6
12,Memphis Grizzlies,37,240.7,36.2,80.0,.453,10.5,27.6,.379,25.8,52.4,.492,19.2,24.9,.769,9.8,32.5,42.2,20.9,6.9,5.2,14.8,20.9,102.1
13,Sacramento Kings,36,240.7,38.8,81.9,.474,12.0,31.2,.385,26.8,50.7,.529,16.1,21.1,.762,9.8,34.1,43.9,24.0,7.9,4.6,14.7,17.9,105.7
14,Denver Nuggets,36,242.1,40.5,85.4,.474,10.6,28.8,.367,29.9,56.6,.528,14.3,18.9,.754,9.3,31.7,40.9,24.1,8.1,4.6,14.8,20.4,105.8
15,Chicago Bulls,36,241.4,39.9,86.2,.463,10.8,29.9,.360,29.1,56.3,.518,15.5,19.8,.784,8.1,37.2,45.4,24.5,7.0,4.7,12.8,17.0,106.1
16,Charlotte Hornets,36,241.4,39.9,87.2,.457,10.7,30.4,.353,29.2,56.8,.514,15.7,19.4,.808,8.1,35.4,43.5,23.4,6.7,5.0,13.8,23.0,106.2
17,Washington Wizards,37,241.4,38.1,84.4,.452,9.8,29.5,.333,28.3,54.9,.516,17.9,23.6,.757,10.0,34.0,44.0,21.6,6.8,4.6,15.3,20.9,104.0
18,Cleveland Cavaliers,36,240.7,40.5,86.4,.469,11.9,32.1,.369,28.7,54.3,.528,14.4,19.3,.746,10.1,32.8,42.8,25.4,7.9,4.1,13.9,20.8,107.3
19,Atlanta Hawks,36,240.7,40.4,85.4,.473,11.6,31.3,.371,28.8,54.1,.532,15.6,20.4,.765,10.9,32.7,43.6,25.5,8.1,5.3,16.4,20.8,108.0
20,Los Angeles Lakers,35,244.3,41.4,90.3,.459,10.3,30.2,.340,31.1,60.1,.518,18.0,23.3,.774,10.4,35.3,45.7,22.9,8.0,6.1,15.6,20.9,111.2
21,Golden State Warriors,37,241.4,38.7,90.0,.430,10.4,29.0,.358,28.4,61.0,.465,17.5,23.2,.754,11.4,30.9,42.2,22.9,8.9,3.9,14.9,18.4,105.3
22,Philadelphia 76ers,36,242.8,38.9,88.5,.439,10.1,29.5,.343,28.8,59.0,.488,20.9,27.7,.755,10.4,32.6,43.0,21.3,9.4,5.8,14.7,21.1,108.8
23,Dallas Mavericks,38,240.7,37.8,81.6,.463,10.4,28.7,.362,27.4,52.8,.518,17.3,22.2,.779,8.4,36.5,44.9,22.4,7.7,4.4,13.9,19.8,103.4
24,Minnesota Timberwolves,37,242.0,40.3,84.2,.479,10.7,28.9,.370,29.6,55.2,.536,14.9,19.1,.780,9.8,31.4,41.1,24.3,6.5,4.6,15.9,21.4,106.2
25,Boston Celtics,40,240.6,36.6,84.0,.436,9.2,26.6,.344,27.4,57.4,.478,16.2,21.4,.756,9.8,33.9,43.7,20.3,6.9,3.9,14.2,19.4,98.5
26,Brooklyn Nets,36,240.7,41.4,88.9,.465,9.5,26.3,.360,31.9,62.6,.509,17.8,23.1,.768,9.8,36.0,45.9,21.6,7.9,5.5,13.3,21.3,110.0
27,Indiana Pacers,37,241.4,41.0,87.4,.469,11.4,30.9,.368,29.6,56.5,.524,13.7,18.6,.736,10.5,32.7,43.2,23.9,6.8,5.3,14.9,18.5,107.0
28,New Orleans Pelicans,36,242.1,41.7,89.6,.465,11.8,31.3,.376,29.9,58.4,.513,16.1,20.7,.776,10.2,33.3,43.5,24.0,8.7,4.3,14.7,20.6,111.2
29,Orlando Magic,37,240.7,41.6,88.8,.468,10.3,26.9,.383,31.3,61.9,.505,16.9,21.4,.787,10.8,35.6,46.4,24.9,8.1,4.8,14.6,19.2,110.4
30,Phoenix Suns,38,240.7,41.4,89.3,.464,9.9,27.3,.362,31.5,61.9,.509,19.6,25.6,.767,10.6,34.7,45.3,22.2,8.6,5.3,13.5,22.7,112.4
,League Average,36,241.1,39.1,85.1,.459,10.4,28.7,.363,28.6,56.5,.507,16.7,21.8,.765,9.7,33.5,43.2,22.6,7.7,4.8,14.7,20.2,105.2